Date,USA30Open,USA30High,USA30Low,USA30Close,USA30Adj Close,USA30Volume,DAX30Open,DAX30High,DAX30Low,DAX30Close,DAX30Adj Close,DAX30Volume,CHINA225Open,CHINA225High,CHINA225Low,CHINA225Close,CHINA225Adj Close,CHINA225Volume,CANADA40Open,CANADA40High,CANADA40Low,CANADA40Close,CANADA40Adj Close,CANADA40Volume,BEL20Open,BEL20High,BEL20Low,BEL20Close,BEL20Adj Close,BEL20Volume,EURO50Open,EURO50High,EURO50Low,EURO50Close,EURO50Adj Close,EURO50Volume
1991-04-23,2941.530029,2957.919922,2905.939941,2930.449951,2930.449951,18550000,1593.619995,1593.619995,1593.619995,1593.619995,1593.619995,0,26188.970703,26568.890625,26078.310547,26491.570313,26491.570313,0,1778.000000,1794.000000,1772.000000,1782.000000,1782.000000,0,1209.000000,1209.000000,1209.000000,1209.000000,1209.000000,0,1004.690002,1004.690002,1004.690002,1004.690002,1004.690002,0
1991-04-24,2940.100098,2965.100098,2913.370117,2949.510010,2949.510010,20210000,1599.410034,1599.410034,1599.410034,1599.410034,1599.410034,0,26516.130859,26585.660156,26329.220703,26330.210938,26330.210938,0,1782.000000,1784.000000,1771.000000,1782.000000,1782.000000,0,1208.500000,1208.500000,1208.500000,1208.500000,1208.500000,0,1006.869995,1006.869995,1006.869995,1006.869995,1006.869995,0
1991-04-25,2938.360107,2958.419922,2905.199951,2921.040039,2921.040039,17480000,1625.869995,1625.869995,1625.869995,1625.869995,1625.869995,0,26316.109375,26341.849609,26037.869141,26038.859375,26038.859375,0,1778.000000,1786.000000,1774.000000,1777.000000,1777.000000,0,1208.900024,1208.900024,1208.900024,1208.900024,1208.900024,0,1013.640015,1013.640015,1013.640015,1013.640015,1013.640015,0
1991-04-26,2909.649902,2934.899902,2888.610107,2912.379883,2912.379883,17330000,1620.520020,1620.520020,1620.520020,1620.520020,1620.520020,0,26100.210938,26256.039063,25994.279297,26123.679688,26123.679688,0,1774.000000,1788.000000,1770.000000,1774.000000,1774.000000,0,1202.900024,1202.900024,1202.900024,1202.900024,1202.900024,0,998.460022,998.460022,998.460022,998.460022,998.460022,0
1991-04-29,2914.850098,2941.090088,2869.550049,2876.979980,2876.979980,16920000,1633.849976,1633.849976,1633.849976,1633.849976,1633.849976,0,null,null,null,null,null,null,1782.000000,1801.000000,1782.000000,1797.000000,1797.000000,0,1199.000000,1199.000000,1199.000000,1199.000000,1199.000000,0,1006.890015,1006.890015,1006.890015,1006.890015,1006.890015,0
1991-04-30,2887.129883,2929.209961,2859.409912,2887.870117,2887.870117,25740000,1606.869995,1606.869995,1606.869995,1606.869995,1606.869995,0,26147.349609,26258.609375,26094.089844,26111.250000,26111.250000,0,1793.000000,1793.000000,1772.000000,1779.000000,1779.000000,0,1188.400024,1188.400024,1188.400024,1188.400024,1188.400024,0,1002.080017,1002.080017,1002.080017,1002.080017,1002.080017,0
1991-05-01,2901.479980,2945.300049,2882.429932,2930.199951,2930.199951,21540000,null,null,null,null,null,null,26193.609375,26529.839844,26193.609375,26489.000000,26489.000000,0,null,null,null,null,null,null,null,null,null,null,null,null,1004.739990,1004.739990,1004.739990,1004.739990,1004.739990,0
1991-05-02,2949.500000,2966.340088,2917.330078,2938.610107,2938.610107,18230000,1631.160034,1631.160034,1631.160034,1631.160034,1631.160034,0,26518.490234,26648.580078,26414.439453,26477.859375,26477.859375,0,1793.000000,1826.000000,1787.000000,1824.000000,1824.000000,0,1192.500000,1192.500000,1192.500000,1192.500000,1192.500000,0,1017.289978,1017.289978,1017.289978,1017.289978,1017.289978,0
1991-05-03,2932.419922,2959.899902,2906.929932,2938.860107,2938.860107,17130000,1633.130005,1633.130005,1633.130005,1633.130005,1633.130005,0,null,null,null,null,null,null,1821.000000,1834.000000,1820.000000,1832.000000,1832.000000,0,1185.099976,1185.099976,1185.099976,1185.099976,1185.099976,0,1018.239990,1018.239990,1018.239990,1018.239990,1018.239990,0
1991-05-06,2931.350098,2956.840088,2911.449951,2941.639893,2941.639893,15200000,1625.859985,1625.859985,1625.859985,1625.859985,1625.859985,0,null,null,null,null,null,null,1831.000000,1832.000000,1816.000000,1828.000000,1828.000000,0,1177.300049,1177.300049,1177.300049,1177.300049,1177.300049,0,1019.469971,1019.469971,1019.469971,1019.469971,1019.469971,0
